Tura;Miod;Populacja;Robotnice;Strazniczki;Trutnie;Krolowe;Szerszenie;NarodzinyPszczol;ZgonyPszczol
1;60;42;15;16;10;1;10;1;0
2;50;43;16;16;10;1;9;1;0
3;40;44;17;16;10;1;8;1;0
4;30;43;17;15;10;1;7;0;1
5;20;39;17;11;10;1;4;0;4
6;12;39;17;11;10;1;3;0;0
7;2;38;17;10;10;1;2;0;1
8;0;37;17;9;10;1;1;0;1
9;0;37;17;9;10;1;1;0;0
10;0;37;17;9;10;1;2;0;0
11;2;37;17;9;10;1;2;0;0
12;0;37;17;9;10;1;1;0;0
13;0;36;17;8;10;1;1;0;1
14;0;36;17;8;10;1;0;0;0
15;0;36;17;8;10;1;0;0;0
16;0;36;17;8;10;1;0;0;0
17;0;36;17;8;10;1;0;0;0
18;0;36;17;8;10;1;0;0;0
19;0;36;17;8;10;1;0;0;0
20;0;36;17;8;10;1;1;0;0
21;0;36;17;8;10;1;1;0;0
22;0;35;16;8;10;1;1;0;1
23;0;35;16;8;10;1;1;0;0
24;0;35;16;8;10;1;1;0;0
25;0;35;16;8;10;1;1;0;0
26;0;35;16;8;10;1;1;0;0
27;0;35;16;8;10;1;1;0;0
28;0;35;16;8;10;1;1;0;0
29;0;34;15;8;10;1;1;0;1
30;0;34;15;8;10;1;2;0;0
31;2;34;15;8;10;1;2;0;0
32;0;34;15;8;10;1;0;0;0
33;0;34;15;8;10;1;0;0;0
34;0;34;15;8;10;1;0;0;0
35;0;34;15;8;10;1;0;0;0
36;0;34;15;8;10;1;0;0;0
37;0;34;15;8;10;1;0;0;0
38;0;34;15;8;10;1;0;0;0
39;0;34;15;8;10;1;0;0;0
40;0;34;15;8;10;1;1;0;0
41;0;34;15;8;10;1;0;0;0
42;0;34;15;8;10;1;0;0;0
43;0;34;15;8;10;1;0;0;0
44;0;34;15;8;10;1;0;0;0
45;0;34;15;8;10;1;0;0;0
46;0;34;15;8;10;1;0;0;0
47;0;34;15;8;10;1;0;0;0
48;0;34;15;8;10;1;0;0;0
49;0;34;15;8;10;1;0;0;0
50;0;34;15;8;10;1;1;0;0
